entreprise,secteur,code_naf,email
6T'REVE,Action sociale sans hébergement,88.99B,
A BLOCK AN ACTION,Action sociale sans hébergement,88.10A,
AAE ESSA ANC ELEV-ECOL SUP SOUD & APPL,Action sociale sans hébergement,88.99B,
ABDEL DJELTI,Action sociale sans hébergement,88.10A,
AIDE A L'ACCOMPAGNEMENT SOCIAL ET SOLIDAIRE ( AASS ),Action sociale sans hébergement,88.99B,
AIDE DOMICILE VILLEPINTE    A6,Action sociale sans hébergement,88.99B,
AL YATEEM & MISKEEN BY MLLE SACKO,Action sociale sans hébergement,88.99B,
AM'VIE,Action sociale sans hébergement,88.10A,
AMINA HIADIHINE,Action sociale sans hébergement,88.10A,
ANATEX,Action sociale sans hébergement,88.99B,
ANDAIS PRO,Action sociale sans hébergement,88.10A,
APF FRANCE HANDICAP,Action sociale sans hébergement,88.99B,
ASS DU CENTRE SOCIAL A.MALRAUX,Action sociale sans hébergement,88.99B,
ASS FRANCAISE CONTRE LES MYOPATHIES,Action sociale sans hébergement,88.99B,
ASS PROMOTION HUMAINE ET SANTE PUBLIQUE,Action sociale sans hébergement,88.99B,
ASSOCIATION AIDE A LA JEUNESSE VILLEPINTOISE,Action sociale sans hébergement,88.99B,
ASSOCIATION BADEMA,Action sociale sans hébergement,88.99B,
ASSOCIATION BILAL,Action sociale sans hébergement,88.99B,
ASSOCIATION DES ANCIENS DU GROUPE SCOLAIRE GHENDA ( AAGSG),Action sociale sans hébergement,88.99B,
ASSOCIATION DES FEMMES MIMI,Action sociale sans hébergement,88.99B,
ASSOCIATION POUR L INSERTION PROFESSIONNELLE DES JEUNES EN DIFFICULTES (AIPJ),Action sociale sans hébergement,88.99B,
ASSOCIATION PROJET AFRIQUE,Action sociale sans hébergement,88.99B,
ASSOCIATION REVE BLEU,Action sociale sans hébergement,88.99B,
ASSOCIATION SOURIRE ENSEMBLE,Action sociale sans hébergement,88.91B,
ASSOCIATION WEDE,Action sociale sans hébergement,88.99B,
ASSOVI (ASV),Action sociale sans hébergement,88.99B,
ATENSHI,Action sociale sans hébergement,88.99B,
AU COEUR DE LA NOUE,Action sociale sans hébergement,88.99B,
AU PANIER GARNI,Action sociale sans hébergement,88.99B,
AUDREY MOREL,Action sociale sans hébergement,88.99B,
AWA KONATE,Action sociale sans hébergement,88.99A,
CAMSP ARC EN CIEL,Action sociale sans hébergement,88.91B,
CCAS,Action sociale sans hébergement,88.99B,
CECIL'EDUC - SOUTIEN DU DEVELOPPEMENT,Action sociale sans hébergement,88.99A,
CF BDC BRY,Action sociale sans hébergement,88.91A,
CHAINE DES FEMMES RESILIENTES (CDFR),Action sociale sans hébergement,88.99B,
COEUR DE SHAZ,Action sociale sans hébergement,88.99B,
COURAGE POUR VAINCRE,Action sociale sans hébergement,88.99B,
CRECHE FAMILIALE ARC-EN-CIEL,Action sociale sans hébergement,88.91A,
CRECHE LISE LONDON,Action sociale sans hébergement,88.91A,
CROIX MARINE HOPITAL JOUR 7EME ET 8EME SECTEURS PSYCHIATRIE A ET B,Action sociale sans hébergement,88.99B,
D.S. SERVICES,Action sociale sans hébergement,88.10A,
DEBORAH MUNOZ,Action sociale sans hébergement,88.99A,
DEMBA DRAME,Action sociale sans hébergement,88.99B,
"DENYA, GRANDIR ENSEMBLE ( DENYA )",Action sociale sans hébergement,88.99A,
DJIBRIL MALONGA,Action sociale sans hébergement,88.99A,
EDEN ASSOCIATION,Action sociale sans hébergement,88.10A,
EDUC'IMPACT,Action sociale sans hébergement,88.99B,
ENTRE-AIDE UNION,Action sociale sans hébergement,88.99B,
EQUALIS,Action sociale sans hébergement,88.99B,
FAFAY LE PETIT-PLUS,Action sociale sans hébergement,88.10A,
FAMILY GOSPEL (FGO),Action sociale sans hébergement,88.99B,
FAMYS SARL,Action sociale sans hébergement,88.91A,
FEDERATION ECONOMIQUE ET PROFESIONNELLE DE LA DIASPORA AFRICAINE,Action sociale sans hébergement,88.99B,
FERNANDA MARIA CLARA,Action sociale sans hébergement,88.10A,
FLORA VOISIN,Action sociale sans hébergement,88.91A,
GENERATION AVISEE,Action sociale sans hébergement,88.99B,
H2CZ HOLDING,Action sociale sans hébergement,88.10A,
HALTE GARDERIE PASTEUR,Action sociale sans hébergement,88.91A,
I AM ME,Action sociale sans hébergement,88.99B,
INSER'SOCIAL93,Action sociale sans hébergement,88.99B,
JADE LAPLACE,Action sociale sans hébergement,88.99B,
JE SUIS RADIEUSE,Action sociale sans hébergement,88.10A,
JESS CONDUITE ILE DE FRANCE ASSOCIATION ( JESS CONDUITE ILE DE FRANCE ASSO ),Action sociale sans hébergement,88.99B,
JEUNESSE ADDICTION SOLIDARITE,Action sociale sans hébergement,88.99A,
KAKIVA GROUPE HUMANITAIRE SOLIDAIRE,Action sociale sans hébergement,88.99B,
KINGSLEY GROUP,Action sociale sans hébergement,88.10A,
L'OLIVIER ENTREPRISE,Action sociale sans hébergement,88.10A,
LA MAISON KANGOUROU PN2,Action sociale sans hébergement,88.91A,
LA TABLE OUVERTE,Action sociale sans hébergement,88.99B,
LES ATELIERS PROTEGES PAYS DE FRANCE,Action sociale sans hébergement,88.99B,
LES CRO' MIGNONS,Action sociale sans hébergement,88.91A,
LES LOUPS SOLIDAIRES ( LOUPS SOLIDAIRES ),Action sociale sans hébergement,88.99B,
LES PETITS AVENTURIERS,Action sociale sans hébergement,88.91A,
LES RESTAURANTS DU COEUR,Action sociale sans hébergement,88.99B,
LPB BALLANGER,Action sociale sans hébergement,88.91A,
LUEUR D'ESPOIR,Action sociale sans hébergement,88.99B,
MAILLAGE SOLIDAIRE,Action sociale sans hébergement,88.99B,
MAINS TENDUES,Action sociale sans hébergement,88.99B,
MALAYKA'SOURCE,Action sociale sans hébergement,88.99B,
MIFALY,Action sociale sans hébergement,88.99B,
"MISSION EDUCATIVE, D'INSERTION, DE TRAVAIL ET D'INTERVENTION SOCIALE",Action sociale sans hébergement,88.99B,
NM SERVICES,Action sociale sans hébergement,88.10A,
OUARDIA TEBAKH,Action sociale sans hébergement,88.10A,
PEPINIERE,Action sociale sans hébergement,88.91A,
RAYONS ROSE,Action sociale sans hébergement,88.99B,
REGIE QUARTIER DE VILLEPINTE,Action sociale sans hébergement,88.99B,
S'UNIR POUR UN SOURIRE,Action sociale sans hébergement,88.99B,
SAMBA CISSOKHO,Action sociale sans hébergement,88.99A,
SANDRINE PELMONT,Action sociale sans hébergement,88.99B,
SAYHIK PHOU,Action sociale sans hébergement,88.10A,
SECTION ATELIER PROTEGE,Action sociale sans hébergement,88.10C,
SERIGNE DOSSEH,Action sociale sans hébergement,88.10A,
SO'PARKS,Action sociale sans hébergement,88.99B,
SOLIDARITE SANS FRONT DHIER (SSFD),Action sociale sans hébergement,88.99B,
ST SERVICES PLUS,Action sociale sans hébergement,88.10A,
TANGISA NGAI,Action sociale sans hébergement,88.99B,
TEN CRECHE,Action sociale sans hébergement,88.91A,
"TOUS FRERES, TOUS SOLIDAIRES ( TFTS )",Action sociale sans hébergement,88.99B,
UEQM VILLEPINTE,Action sociale sans hébergement,88.99A,
UN NOUVEAU SOUFFLE (UNS),Action sociale sans hébergement,88.99B,
UN SOUFFLE A  L'AVENIR (USAV),Action sociale sans hébergement,88.99A,
UN SOURIRE & DZ'AILES 13,Action sociale sans hébergement,88.99B,
UNITES D'INTERVENTION ET D'AIDE CONTRE LA PRECARITE 75,Action sociale sans hébergement,88.99B,
VERT GALANT,Action sociale sans hébergement,88.91A,
VILLEPINTE AIDE ET SOLIDARITE,Action sociale sans hébergement,88.99B,
VIVRE EN VILLE ADMR,Action sociale sans hébergement,88.10A,
VOIX DU COEUR (VDC),Action sociale sans hébergement,88.99B,
YANN SOCIETE,Action sociale sans hébergement,88.10A,
YOUMANITY PROJECT ( YOUMANITY ),Action sociale sans hébergement,88.99B,
ZEN&SERVICES AGENCY,Action sociale sans hébergement,88.10A,
2N HOLDING,Activités administratives et de soutien,82.11Z,
A2C,Activités administratives et de soutien,82.99Z,
ABDEL-HAFID ICHOU,Activités administratives et de soutien,82.92Z,
ACS GROUPE,Activités administratives et de soutien,82.19Z,
ADISSERVICES,Activités administratives et de soutien,82.30Z,
AILEEN POURRE,Activités administratives et de soutien,82.99Z,
ALDI ANALYTICS,Activités administratives et de soutien,82.99Z,
ALDI SERVICES,Activités administratives et de soutien,82.99Z,
ALL EYEZ ON YOU,Activités administratives et de soutien,82.30Z,
ALLO INTERNATIONAL,Activités administratives et de soutien,82.99Z,
AMADY FALL,Activités administratives et de soutien,82.99Z,
AMINA ENDJI LONGOA-MAKOUZOU,Activités administratives et de soutien,82.11Z,
ANNIE DEPREZ,Activités administratives et de soutien,82.11Z,
APS,Activités administratives et de soutien,82.19Z,
ARIATA CONSULT,Activités administratives et de soutien,82.99Z,
ARTEMIO BERNABE,Activités administratives et de soutien,82.99Z,
ASS GESTION GROUPE CILOVA,Activités administratives et de soutien,82.99Z,
ASSIA MADOUI,Activités administratives et de soutien,82.11Z,
ASSISTEO GESTION,Activités administratives et de soutien,82.11Z,
B2 DENTAL,Activités administratives et de soutien,82.11Z,
BAMEXPORT,Activités administratives et de soutien,82.11Z,
BEN HOLDING,Activités administratives et de soutien,82.11Z,
BEST EVENT AGENCY,Activités administratives et de soutien,82.30Z,
BOUZAR.CORP,Activités administratives et de soutien,82.92Z,
CHRISTOPHE RIBEIRO,Activités administratives et de soutien,82.99Z,
CLARA MATHIEU,Activités administratives et de soutien,82.99Z,
COLOMBO FREDERIC,Activités administratives et de soutien,82.99Z,
CONSTANTIN MITRI,Activités administratives et de soutien,82.30Z,
CORE ENVIRONNEMENT,Activités administratives et de soutien,82.99Z,
DIDIER DELAMADE,Activités administratives et de soutien,82.30Z,
DIDIER GALI,Activités administratives et de soutien,82.99Z,
ED-CO CONCEPT,Activités administratives et de soutien,82.30Z,
EDAN,Activités administratives et de soutien,82.99Z,
EGY93,Activités administratives et de soutien,82.99Z,
ELENA THOR,Activités administratives et de soutien,82.30Z,
ETS OLIVA JR,Activités administratives et de soutien,82.19Z,
EVENT EMOI,Activités administratives et de soutien,82.30Z,
EVY NSIMBA NITU,Activités administratives et de soutien,82.30Z,
FAROUK LAMRI,Activités administratives et de soutien,82.99Z,
FERHAT IDIRI,Activités administratives et de soutien,82.99Z,
GAMM EVENTS,Activités administratives et de soutien,82.30Z,
GBH,Activités administratives et de soutien,82.19Z,
GHOMA RANDY,Activités administratives et de soutien,82.99Z,
GIE ANA TAXI,Activités administratives et de soutien,82.20Z,
GIE CYNO,Activités administratives et de soutien,82.99Z,
GLOBAL SERVICES,Activités administratives et de soutien,82.11Z,
GRAND FRAIS,Activités administratives et de soutien,82.99Z,
GRAZIELLA BENINTENDE,Activités administratives et de soutien,82.19Z,
GROUPE ANDINE,Activités administratives et de soutien,82.99Z,
GSF CONSEIL,Activités administratives et de soutien,82.11Z,
GWENDOLINE BABOULAZ GIROD,Activités administratives et de soutien,82.11Z,
HAZAH,Activités administratives et de soutien,82.11Z,
HELENE NGO NYETAM,Activités administratives et de soutien,82.19Z,
"HEXAHUIS, GROUPEMENT D'HUISSIERS DE JUSTICE",Activités administratives et de soutien,82.99Z,
HILALI MEHDI EI,Activités administratives et de soutien,82.99Z,
INFLUENCE EVENTS RECORDS,Activités administratives et de soutien,82.30Z,
JANY@MAURICE,Activités administratives et de soutien,82.11Z,
JASON AMACIN,Activités administratives et de soutien,82.99Z,
JEAN-CLAUDE GIONONATTI,Activités administratives et de soutien,82.99Z,
JESSICA CHERKI,Activités administratives et de soutien,82.11Z,
JOHAN JACOB,Activités administratives et de soutien,82.92Z,
JOSEPH MICHALEZYK,Activités administratives et de soutien,82.19Z,
JPS,Activités administratives et de soutien,82.11Z,
JPS CONSULTING,Activités administratives et de soutien,82.99Z,
JULIEN TCHIENGUE,Activités administratives et de soutien,82.99Z,
KEN TAMBU MILAMBU,Activités administratives et de soutien,82.99Z,
KINSIONA ASSU,Activités administratives et de soutien,82.11Z,
KONTE CONSEILS & REPARATIONS,Activités administratives et de soutien,82.11Z,
LAUBNA,Activités administratives et de soutien,82.99Z,
LETICIA LIMA MENDES MOREIRA,Activités administratives et de soutien,82.11Z,
MACCC,Activités administratives et de soutien,82.19Z,
MAGIC,Activités administratives et de soutien,82.11Z,
MALAURIE LECONTE,Activités administratives et de soutien,82.99Z,
MARIAM DRAME,Activités administratives et de soutien,82.99Z,
MARTINEZ PATRICIA,Activités administratives et de soutien,82.11Z,
MEDIC'LIFE,Activités administratives et de soutien,82.11Z,
MEDICAL COMPUTER COMMUNICATION CARAIBE LOGISTIQUE,Activités administratives et de soutien,82.11Z,
MEDIHA SELIMI,Activités administratives et de soutien,82.11Z,
MEDISCRIBE,Activités administratives et de soutien,82.19Z,
MEET,Activités administratives et de soutien,82.30Z,
MELISSA DAMOU,Activités administratives et de soutien,82.20Z,
MEYNA CREATIONS,Activités administratives et de soutien,82.92Z,
MISAYA,Activités administratives et de soutien,82.99Z,
MLKA HLD,Activités administratives et de soutien,82.11Z,
MOHAMED GOUIZAT,Activités administratives et de soutien,82.99Z,
MOHAMMED HOUD,Activités administratives et de soutien,82.19Z,
MOIZE,Activités administratives et de soutien,82.99Z,
MOKRANE GUEZI,Activités administratives et de soutien,82.99Z,
MYM-DECO-EVENT-IDF,Activités administratives et de soutien,82.30Z,
NATHALIE ELISABETH,Activités administratives et de soutien,82.19Z,
NELYADM,Activités administratives et de soutien,82.11Z,
NEYSSANA EXPERTISE,Activités administratives et de soutien,82.11Z,
NODEVI & ASSUNLOVE,Activités administratives et de soutien,82.99Z,
OTESSA,Activités administratives et de soutien,82.11Z,
PARIS NORD 2 GESTION,Activités administratives et de soutien,82.99Z,
PRESTATIONS FUNERAIRES PARISOT,Activités administratives et de soutien,82.99Z,
PRESTIGIOUS TEXTILES LIMITED,Activités administratives et de soutien,82.99Z,
PROCONSULT,Activités administratives et de soutien,82.99Z,
PROTELCO,Activités administratives et de soutien,82.20Z,
QUADRATURE RESTAURATION,Activités administratives et de soutien,82.11Z,
RBPOL,Activités administratives et de soutien,82.99Z,
RELMY GREGORY CEDRIC,Activités administratives et de soutien,82.11Z,
REMONTADENTAL VILLEPINTE,Activités administratives et de soutien,82.11Z,
ROCHEFORTE EVENEMENTIEL,Activités administratives et de soutien,82.30Z,
SANKARE INAYA GNEGNE,Activités administratives et de soutien,82.11Z,
SAS ASK SERVICE,Activités administratives et de soutien,82.99Z,
SCM VERT GALANTINE,Activités administratives et de soutien,82.19Z,
SEPTIME SEMEUR,Activités administratives et de soutien,82.30Z,
SERIS FACILITY,Activités administratives et de soutien,82.99Z,
SERRA SOLDADURA,Activités administratives et de soutien,82.99Z,
SHERLINE ALEIDE,Activités administratives et de soutien,82.92Z,
SIDI MOHAMED HADJI,Activités administratives et de soutien,82.11Z,
SIMAF EXPO,Activités administratives et de soutien,82.30Z,
SINGH,Activités administratives et de soutien,82.99Z,
SMAIN BENALI,Activités administratives et de soutien,82.99Z,
SOCIETE D EXPLOITATION DU PARC D EXPOSITIONS DE PARIS NORD VILLEPINTE EN ABREGE VIPARIS NORD,Activités administratives et de soutien,82.30Z,
SOCIETE LUPEMBA ET FILS,Activités administratives et de soutien,82.19Z,
SOPHIE DUBOST,Activités administratives et de soutien,82.19Z,
SOURIRE SANS FRONTIERES,Activités administratives et de soutien,82.30Z,
SPEED-SERV,Activités administratives et de soutien,82.19Z,
ST PRO,Activités administratives et de soutien,82.11Z,
TAXI ALLIANCE PARIS,Activités administratives et de soutien,82.20Z,
TAXIS B,Activités administratives et de soutien,82.11Z,
THE ROASTERS CLUB,Activités administratives et de soutien,82.11Z,
TYMAH GESTION,Activités administratives et de soutien,82.11Z,
UTILOC,Activités administratives et de soutien,82.30Z,
VILLEPINTE BUSINESS CENTRE,Activités administratives et de soutien,82.99Z,
WEBWEGO.FR,Activités administratives et de soutien,82.20Z,
WENDY LOZA,Activités administratives et de soutien,82.11Z,
WORLD SANTE,Activités administratives et de soutien,82.30Z,
XEROX TECHNOLOGY SERVICES,Activités administratives et de soutien,82.19Z,
YOU AND OFFICE,Activités administratives et de soutien,82.11Z,
YOUNESS ORGNISATION EVENEMENTS,Activités administratives et de soutien,82.30Z,
YOUSSOUF SIDIBE,Activités administratives et de soutien,82.99Z,
ZIYAD OURTILANE,Activités administratives et de soutien,82.99Z,
ZURIGO GUY,Activités administratives et de soutien,82.99Z,
2B ASSURANCE,Activités auxiliaires des services financiers,66.22Z,
AFIP,Activités auxiliaires des services financiers,66.19A,
AHO INVEST,Activités auxiliaires des services financiers,66.30Z,
AICHA KARAMOKO,Activités auxiliaires des services financiers,66.22Z,
AR INVESTISSEMENT,Activités auxiliaires des services financiers,66.19B,
ASSU 2000,Activités auxiliaires des services financiers,66.22Z,
AVANTAGE COURTAGE,Activités auxiliaires des services financiers,66.19B,
AYA INVEST,Activités auxiliaires des services financiers,66.30Z,
B&K SERVICES,Activités auxiliaires des services financiers,66.30Z,
BCA EXPERTISE SAS,Activités auxiliaires des services financiers,66.21Z,
BENECH GESTION,Activités auxiliaires des services financiers,66.22Z,
BF ASSU,Activités auxiliaires des services financiers,66.22Z,
BLUE COURT,Activités auxiliaires des services financiers,66.30Z,
CABINET MEDICAL DES DOCTEURS PIROLLO ET TRAN,Activités auxiliaires des services financiers,66.19A,
CAPSULE CORP HOLDING,Activités auxiliaires des services financiers,66.30Z,
CH INVEST,Activités auxiliaires des services financiers,66.30Z,
CONTINENTAL PRESTIGE GROUP,Activités auxiliaires des services financiers,66.30Z,
DSA GESTION,Activités auxiliaires des services financiers,66.30Z,
FARAH SEGHIRI,Activités auxiliaires des services financiers,66.22Z,
FINANCIERE CZC,Activités auxiliaires des services financiers,66.30Z,
FORESTFI,Activités auxiliaires des services financiers,66.19A,
FSD PARTICIPATIONS,Activités auxiliaires des services financiers,66.30Z,
GOLD COURT,Activités auxiliaires des services financiers,66.30Z,
GOODRICH AEROSPACE SERVICES,Activités auxiliaires des services financiers,66.30Z,
GREEN COURT,Activités auxiliaires des services financiers,66.30Z,
GREEN TEAM,Activités auxiliaires des services financiers,66.30Z,
GROUPE RAF J,Activités auxiliaires des services financiers,66.30Z,
GROUPE RECOLIA,Activités auxiliaires des services financiers,66.30Z,
HMD,Activités auxiliaires des services financiers,66.30Z,
HOLDING DAOUD,Activités auxiliaires des services financiers,66.30Z,
HOLDING KYA,Activités auxiliaires des services financiers,66.30Z,
HOLDING ROBERT PARTICIPATIONS,Activités auxiliaires des services financiers,66.30Z,
HOLDING Y.Z,Activités auxiliaires des services financiers,66.30Z,
HORIUS CONSULTING,Activités auxiliaires des services financiers,66.19B,
JEOUIT GROUP,Activités auxiliaires des services financiers,66.30Z,
KEBLI HOLDING,Activités auxiliaires des services financiers,66.30Z,
LA ROUDILERIE,Activités auxiliaires des services financiers,66.30Z,
LANG & ASSOCIES VILLEPINTE,Activités auxiliaires des services financiers,66.21Z,
LEADER ASSURANCES,Activités auxiliaires des services financiers,66.22Z,
LES AS COMPARENT,Activités auxiliaires des services financiers,66.22Z,
LORTERA,Activités auxiliaires des services financiers,66.19B,
LP ASSURANCE,Activités auxiliaires des services financiers,66.22Z,
MARCEAU 8,Activités auxiliaires des services financiers,66.30Z,
MAYLO SAVIC,Activités auxiliaires des services financiers,66.22Z,
MEHNATH,Activités auxiliaires des services financiers,66.30Z,
MIH SOCIETY,Activités auxiliaires des services financiers,66.30Z,
MONDESIR LEGACY,Activités auxiliaires des services financiers,66.30Z,
MULTANI HERITAGE,Activités auxiliaires des services financiers,66.30Z,
NADIA AMAMI,Activités auxiliaires des services financiers,66.19B,
NAIMA GERMAIN,Activités auxiliaires des services financiers,66.22Z,
O.A.P,Activités auxiliaires des services financiers,66.22Z,
PATRICK DAUSSE,Activités auxiliaires des services financiers,66.22Z,
PROCLIM FINANCE,Activités auxiliaires des services financiers,66.30Z,
PROSSUR,Activités auxiliaires des services financiers,66.22Z,
QR HOLDING,Activités auxiliaires des services financiers,66.30Z,
RACHID BOUHASSANE,Activités auxiliaires des services financiers,66.19B,
RED COURT,Activités auxiliaires des services financiers,66.30Z,
RM AUDIT,Activités auxiliaires des services financiers,66.22Z,
RSE WORLD,Activités auxiliaires des services financiers,66.30Z,
SAVIC,Activités auxiliaires des services financiers,66.22Z,
SCM A CAPITAL VARIABLE BALLANGER - LA PEPINIERE,Activités auxiliaires des services financiers,66.19A,
SGM CREDIT,Activités auxiliaires des services financiers,66.19B,
SOCIETE CP CAPITAL GROUP,Activités auxiliaires des services financiers,66.30Z,
SOCIETE D'INTERMEDIAIRES EN COURTAGE CONSEILS ASSURANCES ET PLACEMENTS SICCAP,Activités auxiliaires des services financiers,66.22Z,
"STEPHANE, TRUNG",Activités auxiliaires des services financiers,66.22Z,
V.S.A COURTAGE,Activités auxiliaires des services financiers,66.19B,
VELIS ASSURANCES,Activités auxiliaires des services financiers,66.22Z,
VLADIMIR IVOY-PORRETTA,Activités auxiliaires des services financiers,66.22Z,
2 A TRANSPORT,Activités de location et de crédit-bail,77.11A,
AD LOCATION,Activités de location et de crédit-bail,77.11A,
AG PRO,Activités de location et de crédit-bail,77.39Z,
AKM TAXIS RELAIS,Activités de location et de crédit-bail,77.11A,
ANAIS LEAL DA VEIGA,Activités de location et de crédit-bail,77.29Z,
CASH CONVERTERS EUROPE,Activités de location et de crédit-bail,77.40Z,
CINEMALIGHT,Activités de location et de crédit-bail,77.29Z,
CLAUDIA FIGUEREDO PEREZ,Activités de location et de crédit-bail,77.40Z,
CRISTIAN TODITA,Activités de location et de crédit-bail,77.11A,
DDM LOCATION,Activités de location et de crédit-bail,77.11A,
DEM LOCATION,Activités de location et de crédit-bail,77.11A,
DRIVECLUB,Activités de location et de crédit-bail,77.11A,
DURAMOB FRANCE,Activités de location et de crédit-bail,77.11A,
EURO POOL SYSTEM FRANCE SARL,Activités de location et de crédit-bail,77.39Z,
EUROLOC,Activités de location et de crédit-bail,77.39Z,
FHDRIVE,Activités de location et de crédit-bail,77.11A,
FLEXIBLE,Activités de location et de crédit-bail,77.11B,
IK SERVICES,Activités de location et de crédit-bail,77.11A,
KEY CAR,Activités de location et de crédit-bail,77.11A,
KOURICHI AUTO,Activités de location et de crédit-bail,77.11A,
LEGACY CAR,Activités de location et de crédit-bail,77.11A,
LOCAVION,Activités de location et de crédit-bail,77.35Z,
LOCEXPO,Activités de location et de crédit-bail,77.39Z,
LUX' CITY CARS,Activités de location et de crédit-bail,77.11A,
LUXURY LANE,Activités de location et de crédit-bail,77.11A,
MAIENEVENT'S,Activités de location et de crédit-bail,77.29Z,
MBIKES,Activités de location et de crédit-bail,77.21Z,
MID LOCATION,Activités de location et de crédit-bail,77.11A,
MM CARS LOCATION,Activités de location et de crédit-bail,77.11A,
MOHAMED KARAMOKO,Activités de location et de crédit-bail,77.11A,
MOHAMMED HATTABI,Activités de location et de crédit-bail,77.29Z,
MOON,Activités de location et de crédit-bail,77.11A,
MORAD SIDI YEKHLEF,Activités de location et de crédit-bail,77.32Z,
NABLOC,Activités de location et de crédit-bail,77.11A,
NEGAFA SO LUX,Activités de location et de crédit-bail,77.29Z,
NEPTUNUS,Activités de location et de crédit-bail,77.39Z,
NKO PROD,Activités de location et de crédit-bail,77.29Z,
NZ2Y CO,Activités de location et de crédit-bail,77.11A,
PACCAR FINANCIAL FRANCE SAS,Activités de location et de crédit-bail,77.12Z,
PETIT FORESTIER CONTAINER,Activités de location et de crédit-bail,77.39Z,
PETIT FORESTIER LOCATION,Activités de location et de crédit-bail,77.12Z,
PETIT FORESTIER LOCATION DE MEUBLES FRIGORIFIQUES,Activités de location et de crédit-bail,77.39Z,
PRINTEMPS LOCATION,Activités de location et de crédit-bail,77.11A,
PRO SERVICES LOCATION,Activités de location et de crédit-bail,77.29Z,
REFLEX RENT,Activités de location et de crédit-bail,77.11A,
SHOW TIME,Activités de location et de crédit-bail,77.29Z,
SOLID'AIR SIM,Activités de location et de crédit-bail,77.39Z,
STAT  LOCATION,Activités de location et de crédit-bail,77.12Z,
TAXI HM,Activités de location et de crédit-bail,77.11A,
TRUCK LOC,Activités de location et de crédit-bail,77.11A,
VITALAIRE SA,Activités de location et de crédit-bail,77.29Z,
WEB-LOC AUTO,Activités de location et de crédit-bail,77.11A,
ABD EXPRESS,Activités de poste et de courrier,53.20Z,
ABDOULAYE KOUYATE,Activités de poste et de courrier,53.20Z,
ABDOULAYE TIENE,Activités de poste et de courrier,53.20Z,
ABDOURAHMANE ABERKANE,Activités de poste et de courrier,53.20Z,
ABDULAYE KABE,Activités de poste et de courrier,53.20Z,
ABOU HASSAN IHEB,Activités de poste et de courrier,53.20Z,
ABOUBACAR DIAGNE,Activités de poste et de courrier,53.20Z,
ABOUDOU MANGASSOUBA,Activités de poste et de courrier,53.20Z,
ADAM MADIANE,Activités de poste et de courrier,53.20Z,
ADAMA TUNKARA,Activités de poste et de courrier,53.20Z,
ADAME EL FADIL,Activités de poste et de courrier,53.20Z,
ADAMS-JUNIOR FOFANA,Activités de poste et de courrier,53.20Z,
AGENT SMITH,Activités de poste et de courrier,53.20Z,
AHAD AHSAN,Activités de poste et de courrier,53.20Z,
AHMED MANI,Activités de poste et de courrier,53.20Z,
AHMED SADJI,Activités de poste et de courrier,53.20Z,
AIMEN BENHAIK,Activités de poste et de courrier,53.20Z,
AIMEN NEKKACHE,Activités de poste et de courrier,53.20Z,
AKRAM CHALLAL,Activités de poste et de courrier,53.20Z,
ALAIN SANDJONG,Activités de poste et de courrier,53.20Z,
ALEX NICOLAS VARRAIN,Activités de poste et de courrier,53.20Z,
ALEX SILVA RODRIGUES,Activités de poste et de courrier,53.20Z,
ALI ISAKHIL,Activités de poste et de courrier,53.20Z,
ALI RMINI,Activités de poste et de courrier,53.20Z,
ALLOCARSTRANSPORT,Activités de poste et de courrier,53.20Z,
ALOUACHE DJELLEL,Activités de poste et de courrier,53.20Z,
AMAR AKIR,Activités de poste et de courrier,53.20Z,
AMELIE ET SERVICE LIVRAISON EXPRESS,Activités de poste et de courrier,53.20Z,
AMINE GO,Activités de poste et de courrier,53.20Z,
AMIR EXPRES,Activités de poste et de courrier,53.20Z,
ANGELINA MENDY,Activités de poste et de courrier,53.20Z,
ANGELO BLEMUR,Activités de poste et de courrier,53.20Z,
ANIS MELFOUTA,Activités de poste et de courrier,53.20Z,
ANNIE NADIA NADINE BAZILE BAZILE,Activités de poste et de courrier,53.20Z,
ANTONY ANTON THEOGINESH,Activités de poste et de courrier,53.20Z,
ARJINDER SINGH,Activités de poste et de courrier,53.20Z,
ARRHAVONA MANZAMBI,Activités de poste et de courrier,53.20Z,
ASHLEY SERVICES,Activités de poste et de courrier,53.20Z,
AWAIS EXPRESS,Activités de poste et de courrier,53.20Z,
AYOUB BEYOU,Activités de poste et de courrier,53.20Z,
AZHARUL HOQUE,Activités de poste et de courrier,53.20Z,
BACHIR SAADA,Activités de poste et de courrier,53.20Z,
BAKARY DIAKHITE,Activités de poste et de courrier,53.20Z,
BILAL JELLOULI,Activités de poste et de courrier,53.20Z,
BILLAL DZIRI,Activités de poste et de courrier,53.20Z,
BILLY TIDOR,Activités de poste et de courrier,53.20Z,
BLEXPRESS,Activités de poste et de courrier,53.20Z,
BN SERVICES,Activités de poste et de courrier,53.20Z,
BOOSTUP,Activités de poste et de courrier,53.20Z,
BOUBACAR BAH,Activités de poste et de courrier,53.20Z,
BOUBACAR BARRY,Activités de poste et de courrier,53.20Z,
BOUBACAR TRAORE,Activités de poste et de courrier,53.20Z,
BRANLY @PARIS,Activités de poste et de courrier,53.20Z,
CELIA KRIMI,Activités de poste et de courrier,53.20Z,
CHAHINE ZEROUK,Activités de poste et de courrier,53.20Z,
CHANDRAKANTH MODE,Activités de poste et de courrier,53.20Z,
DAR,Activités de poste et de courrier,53.20Z,
